SNR,BER,FER,CFO,MOD,CODERATE
6,0.501860712387028,1,12.8756996011664,256,0.75
1,0.5,1,0,64,0.666666666666667
22,0,0,3.5093082546454,2,0.833333333333333
24,0,0,-0.339773780565771,2,0.5
23,0,0,7.14034841506553,16,0.5
13,0.484566092290861,1,8.8910133462053,1024,0.5
0,0.5,1,0,2,0.833333333333333
11,0.49330175091537,1,0.0179269666507154,1024,0.75
19,0.403103613234533,1,8.35923506227327,1024,0.666666666666667
13,0.00026581605528974,0.111111111111111,-1.69752462926657,2,0.5
1,0.5,1,0,1024,0.75
4,0.5,1,0,256,0.5
15,0.485539343408025,1,7.3094148616701,64,0.75
7,0,0,2.23726925353138,2,0.833333333333333
14,0.475247524752475,1,0.337895476383995,64,0.75
24,0,0,10.037134328306,2,0.75
3,0.5,1,0,256,0.5
1,0.5,1,0,4,0.5
5,0.5,1,0,2,0.75
2,0.5,1,0,16,0.666666666666667
2,0.5,1,0,256,0.833333333333333
14,0.473269288970897,1,8.2525566219053,1024,0.666666666666667
9,0.500298743519902,1,-8.79901553883249,1024,0.666666666666667
5,0.501471756600112,1,4.18637641688172,1024,0.5
11,0.498877271085337,1,18.7525096842176,1024,0.666666666666667
19,0,0,-0.449256796098535,2,0.75
15,0.500611692435837,1,3.0189818923961,1024,0.75
18,0,0,5.79215129212663,4,0.833333333333333
24,0,0,1.47163871445252,16,0.5
16,0,0,10.3840431079319,64,0.5
6,0.5,1,0,4,0.833333333333333
18,0,0,9.82376921827058,2,0.75
20,0.445928123969667,1,3.21307238905504,1024,0.75
5,0.5,1,0,256,0.75
21,0,0,3.82997203062714,4,0.833333333333333
23,0.495534421863239,1,4.8701622797768,64,0.75
9,0.499889292645124,1,6.61768776497289,1024,0.5
4,0.124483104553574,1,8.41040731103609,16,0.666666666666667
18,0.489714022940635,1,1.30892018461841,1024,0.75
15,0,0,11.6903683821017,16,0.666666666666667
2,0.496764808059753,1,1.57062611662954,64,0.75
11,0.488971965661601,1,4.12135265805671,64,0.666666666666667
10,0.0273375508163221,1,-0.792972814314481,64,0.5
4,0.5,1,0,2,0.833333333333333
13,0.498130999361805,1,4.9971627960511,64,0.833333333333333
6,0.5,1,0,16,0.833333333333333
7,0.498620420222442,1,6.36612751059038,256,0.666666666666667
20,0,0,5.55940568514446,2,0.75
11,0.499303194884018,1,-1.77414762744238,64,0.833333333333333
22,0.42121134429672,1,8.44767219168182,256,0.666666666666667
18,0.187134502923977,1,3.32525356899388,16,0.833333333333333
13,0.00303390054082575,0.666666666666667,0.526593626189109,2,0.75
24,0,0,7.13291004493424,2,0.75
2,0.5,1,0,1024,0.5
16,0.492238881080049,1,8.10416465237597,1024,0.75
4,0.5,1,0,1024,0.5
24,0.00189887629479932,0.888888888888889,0.855008974166589,1024,0.666666666666667
6,0.5,1,0,2,0.75
23,0.0166752306148915,0.777777777777778,4.89470850651661,16,0.666666666666667
15,0,0,4.42853483643121,16,0.5
9,0,0,5.35816286056669,2,0.666666666666667
