SNR,BER,MOD,CODERATE,FER
24,0,4,0.666666666666667,0,39.4576744956662
19,0.0287709542623937,256,0.75,1,38.9436402624553
17,0.128252364801666,256,0.5,1,39.5302822098132
7,0.498852863935018,16,0.833333333333333,1,25.7466378598784
24,0.0551610830506958,64,0.666666666666667,1,40.6203593417299
